         25051 function calls (24971 primitive calls) in 0.046 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1600    0.005    0.000    0.005    0.000 {method 'findall' of 're.Pattern' objects}
       10    0.004    0.000    0.004    0.000 {method 'sub' of 're.Pattern' objects}
        5    0.003    0.001    0.006    0.001 D:\Python\Lib\site-packages\sklearn\feature_extraction\text.py:380(_check_stop_words_consistency)
       15    0.002    0.000    0.002    0.000 {built-in method builtins.sorted}
        5    0.002    0.000    0.016    0.003 D:\Python\Lib\site-packages\sklearn\feature_extraction\text.py:1242(_count_vocab)
        5    0.002    0.000    0.003    0.001 D:\Python\Lib\site-packages\sklearn\feature_extraction\text.py:1203(_limit_features)
     1600    0.002    0.000    0.003    0.000 D:\Python\Lib\site-packages\sklearn\feature_extraction\text.py:46(_preprocess)
        5    0.001    0.000    0.004    0.001 D:\Python\Lib\site-packages\sklearn\feature_extraction\text.py:1189(_sort_features)
     1600    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
       11    0.001    0.000    0.001    0.000 {built-in method _io.open}
       60    0.001    0.000    0.001    0.000 D:\Python\Lib\site-packages\scipy\sparse\_sputils.py:148(get_index_dtype)
       10    0.001    0.000    0.001    0.000 D:\Python\Lib\site-packages\sklearn\feature_extraction\text.py:242(_word_ngrams)
     2672    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
       10    0.001    0.000    0.001    0.000 {built-in method nt._path_isfile}
       10    0.001    0.000    0.001    0.000 {method 'extend' of 'array.array' objects}
       10    0.001    0.000    0.001    0.000 {method 'read' of '_io.TextIOWrapper' objects}
       20    0.001    0.000    0.002    0.000 D:\Python\Lib\inspect.py:2368(_signature_from_function)
      260    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
       35    0.000    0.000    0.002    0.000 D:\Python\Lib\site-packages\sklearn\utils\validation.py:93(_assert_all_finite)
       11    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
    50/45    0.000    0.000    0.003    0.000 D:\Python\Lib\site-packages\scipy\sparse\_compressed.py:27(__init__)
      255    0.000    0.000    0.001    0.000 D:\Python\Lib\site-packages\sklearn\utils\_param_validation.py:101(make_constraint)
       10    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       35    0.000    0.000    0.004    0.000 D:\Python\Lib\site-packages\sklearn\utils\validation.py:718(check_array)
       20    0.000    0.000    0.002    0.000 D:\Python\Lib\site-packages\sklearn\utils\_param_validation.py:25(validate_parameter_constraints)
      175    0.000    0.000    0.001    0.000 D:\Python\Lib\inspect.py:2729(__init__)
      860    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       45    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        5    0.000    0.000    0.000    0.000 {method 'writelines' of '_io._IOBase' objects}
        1    0.000    0.000    0.046    0.046 D:\pythonProject1\Software_Engineer\main.py:42(process_files)
       50    0.000    0.000    0.001    0.000 D:\Python\Lib\site-packages\scipy\sparse\_compressed.py:137(check_format)
       15    0.000    0.000    0.002    0.000 D:\Python\Lib\site-packages\sklearn\preprocessing\_data.py:1856(normalize)
       50    0.000    0.000    0.001    0.000 D:\Python\Lib\site-packages\scipy\sparse\_compressed.py:1172(prune)
        5    0.000    0.000    0.023    0.005 D:\Python\Lib\site-packages\sklearn\feature_extraction\text.py:1326(fit_transform)
       50    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\scipy\sparse\_sputils.py:295(check_shape)
      280    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\utils\_array_api.py:372(__getattr__)
       20    0.000    0.000    0.002    0.000 D:\Python\Lib\inspect.py:2463(_signature_from_callable)
      576    0.000    0.000    0.000    0.000 <frozen codecs>:327(reset)
